QR코드,제품명,카테고리,위치,세부위치,수량,적정재고,단위,메모
,아이스크림 바닐라 분말,매점 식재료,매점,매점,4,0,개,5개
,(뚜껑없음) 미니어항,체험 용품,수장고 A,A-15,468,0,개,78박스(6개)
,물감놀이 세트,체험 용품,수장고 A,A-3,10,0,개,1박스
,물풍선 만들기,체험 용품,수장고 A,A-9,400,0,개,1박스
,4구 사각케이스 뚜껑,체험 비품,수장고 A,A-10,100,0,개,1묶음
,세탁세제,생필품,수장고 A,A-4,4,0,개,4
,위생장갑,생필품,수장고 A,A-4,7,0,개,7
,크린팩,생필품,수장고 A,A-4,2,0,개,2
,포장용리본,사무용품,수장고 A,A-3,3,0,개,3묶음
,보드마카,사무용품,수장고 A,A-3,4,0,개,4개
,멀티탭,사무용품,수장고 A,A-4,3,0,개,
,칭찬스탬프,사무용품,수장고 A,A-4,6,0,개,6
,조명,박물관 용품,수장고 A,A-10,25,0,개,1박스
,선풍기 안전망,박물관 용품,수장고 A,A-10,5,0,개,5개
,조조 입장권 ,박물관 용품,수장고 A,A-4,420,0,개,6팻
,핫팩,박물관 용품,수장고 A,A-8,40,0,개,1박스
,포장용 빈박스,박물관 용품,수장고 A,A-8,43,0,개,43개
,프리미엄 핫초코,매점 식재료,수장고 A,A-10,6,0,개,"""1kg/6봉지, 27.12.22"""
,위생 소주컵,매점 비품,수장고 A,A-10,500,0,개,1박스
,비닐봉투,매점 비품,수장고 A,A-10,100,0,개,2박스
,일회용 스푼(검정大),매점 비품,수장고 A,A-10,200,0,개,2묶음
,사이즈 안맞는 음료컵,매점 비품,수장고 A,A-11,200,0,개,2박스
,일회용 포장그릇+뚜껑세트,매점 비품,수장고 A,A-12,200,0,개,6세트
,코르크마개+원형유리병 세트,매점 비품,수장고 A,A-14,36,0,개,36개
,연날리기,체험 용품,수장고 B,B-1,100,0,개,1박스
,미니뜨개모자,체험 용품,수장고 B,B-1,30,0,개,1박스
,실버+A4:A27마운틴워터 오일,체험 용품,수장고 B,B-2,1,0,개,1병
,로즈 힙 오일,체험 용품,수장고 B,B-2,1,0,개,1병
